;civilite_collaborateur;fonction_collaborateur;nom_collaborateur;prenom_collaborateur;representants_id;nom_prenom_collaborateur
3322;M;ADMINISTRATEUR;JEANNENEY;Wilfried;1038;JEANNENEY Wilfried
3323;M;ADMINISTRATEUR;LEDONNE;Jennifer;1038;LEDONNE Jennifer
3324;M;ADMINISTRATEUR;LECOINTE;Marie Noel;1038;LECOINTE Marie Noel
3325;M;ADMINISTRATEUR;LEROY;Romuald;1038;LEROY Romuald
3326;M;ADMINISTRATEUR;MAISONNEUVE;Joel;1038;MAISONNEUVE Joel
3327;M;ADMINISTRATEUR;MORIN;Christian;1038;MORIN Christian
3328;M;ADMINISTRATEUR;PERRIN;Charles;1038;PERRIN Charles
3329;MME;ADMINISTRATEUR;PINAULT;Laetitia;1038;PINAULT Laetitia
3330;MME;ADMINISTRATEUR;PINAULT;Elisa;1038;PINAULT Elisa
3331;M;ADMINISTRATEUR;POLLET;Fabrice;1038;POLLET Fabrice
3332;M;ADMINISTRATEUR;SEPTCHAT;Antoine;1038;SEPTCHAT Antoine
3333;M;ADMINISTRATEUR;SEPTFOND;Matthieu;1038;SEPTFOND Matthieu
3334;M;ADMINISTRATEUR;VITET;Stephane;1038;VITET Stephane
3335;MME;Policy lead;BAYLAC DE LA CODRE;Charlotte;1039;BAYLAC DE LA CODRE Charlotte
3336;MME;Secrétaire général;LE GOUEZ;Sarah;1040;LE GOUEZ Sarah
3337;M;Directeur;CREVEL;Philippe;1040;CREVEL Philippe
3338;M;chargé de mission affaires institutionnelles;BERTHELIN;Thibault;1041;BERTHELIN Thibault
3339;M;Directeur Général;MALECAMP;Bruno;1041;MALECAMP Bruno
3340;M;Président;MILLER;Emmanuel;1041;MILLER Emmanuel
3341;MME;Responsable des relations institutionnelles;BARTIN;Ombeline;1042;BARTIN Ombeline
3342;M;Président;LOMBARDINI;Maxime;1042;LOMBARDINI Maxime
3343;M;Directeur de la réglementation;LAGANIER;Laurent;1042;LAGANIER Laurent
3344;M;;FAGES;Fabrice;1043;FAGES Fabrice
3345;M;Directeur affaires publiques et européennes;BRUSA;Fabio;1044;BRUSA Fabio
3346;MME;Présidente;WEBER;Caroline;1045;WEBER Caroline
3347;M;Directeur Stratégie et Vie Institutionnelle;SERRE;Ludovic;1046;SERRE Ludovic
3348;M;Délégué Général;GOLDSMITH;Frédéric;1047;GOLDSMITH Frédéric
3349;M;Président;BRILLION;Frédéric;1047;BRILLION Frédéric
3350;MME;;BAUDRY;Camille;1048;BAUDRY Camille
3351;MME;;SERRES;Laure;1048;SERRES Laure
3352;MME;;FOULQUIER;Véronique;1048;FOULQUIER Véronique
3353;M;;PARAYRE;Yvon;1048;PARAYRE Yvon
3354;M;;DAVEZAC;Patrick;1048;DAVEZAC Patrick
3355;M;;TRAN VAN;Axel;1048;TRAN VAN Axel
3356;M;;BEAUFILS;Olivier;1048;BEAUFILS Olivier
3357;M;;DE FALETANS;Amaury;1048;DE FALETANS Amaury
3358;M;;ESCRIEUT;Joël;1048;ESCRIEUT Joël
3359;M;;DAYDE;Xavier;1048;DAYDE Xavier
3360;M;;MESBAH;Luc;1048;MESBAH Luc
3361;M;;BROUSSE;Michel;1048;BROUSSE Michel
3362;M;;BROTONS;Jean-François;1048;BROTONS Jean-François
3363;M;;BROUSSE;Alain;1048;BROUSSE Alain
3364;M;;RIGAL;Jean-François;1048;RIGAL Jean-François
3365;M;;LABORIE;Lionel;1048;LABORIE Lionel
3366;M;Directeur Policy & Market Access;MICHEL;Sébastien;1049;MICHEL Sébastien
3367;M;secrétaire général;VAN HOOF;Stéphane;1050;VAN HOOF Stéphane
3368;M;;BOEHLY;Frank;1051;BOEHLY Frank
3369;MME;Directrice;ROUSSEAU;Beatrice;1051;ROUSSEAU Beatrice
3370;MME;Directrice;TAILLEUR;Caroline;1052;TAILLEUR Caroline
3371;M;Premier Vice-Président;TREBAOL;Joseph;1052;TREBAOL Joseph
3372;M;Secrétaire Général;GUILLOUX;Mickael;1052;GUILLOUX Mickael
3373;M;Vice-Président;BOURCIER;Gérard;1052;BOURCIER Gérard
3374;M;Secrétaire Général adjoint;COURADES;Michel;1052;COURADES Michel
3375;M;Vice-Président;GUY;Christian;1052;GUY Christian
3376;M;Membre du Bureau;FOURRE;Yvan;1052;FOURRE Yvan
3377;M;Membre du Bureau;HUET;François-Régis;1052;HUET François-Régis
3378;MME;Secrétaire Général adjointe;JOLIFF;Carole;1052;JOLIFF Carole
3379;M;Membre du Bureau;LAFRAGETTE;Thierry;1052;LAFRAGETTE Thierry
3380;M;Membre du Bureau;LEMAITRE;Jacques;1052;LEMAITRE Jacques
3381;M;Membre du Bureau;MARCHAL;Thierry;1052;MARCHAL Thierry
3382;M;Membre du Bureau;ROUE;Guillaume;1052;ROUE Guillaume
3383;M;Trésorier;THENOZ;Thierry;1052;THENOZ Thierry
3384;M;Vice-Président;VALY;François;1052;VALY François
3385;M;Président;AUFFRAY;Paul;1052;AUFFRAY Paul
3386;M;;CHEVILLON;Carl;1053;CHEVILLON Carl
3387;M;;DELVOLVE;Géraud;1054;DELVOLVE Géraud
3388;MME;Responsable des relations institutionnelles France;SOUEF;Mélinda;1055;SOUEF Mélinda
3389;M;Directeur Général exécutif;ARKWRIGHT;Edward;1055;ARKWRIGHT Edward
3390;M;Directeur général adjoint;COMET;Henri-Michel;1055;COMET Henri-Michel
3391;M;Responsable des relations institutionnelles Tourisme et attractivité;MANCHERON;Remi;1055;MANCHERON Remi
3392;M;Délégué Général;DE FLEURIEU;Antoine;1056;DE FLEURIEU Antoine
3393;MME;Chargée de mission affaires publiques;GHERSBRAHAM;Hakima;1056;GHERSBRAHAM Hakima
3394;M;Directeur Affaires Publiques;VORMUS;Joël;1056;VORMUS Joël
3395;MME;;ROYER;Julie;1057;ROYER Julie
3396;M;Vice-Président en charge de l'installation - JA BFC;POINT;Florent;1057;POINT Florent
3397;M;Secrétaire général adjoint;CHABOD;Fabrice;1057;CHABOD Fabrice
3398;MME;Secrétaire générale;GRANGEOT;Justine;1057;GRANGEOT Justine
3399;M;;BOTTRIE;Philippe;1058;BOTTRIE Philippe
3400;MME;responsable Affaires Publiques France;HAREL;Marie-Laure;1058;HAREL Marie-Laure
3401;MME;KAM France;CROS;Alexandra;1058;CROS Alexandra
3402;M;;BONFILS;Sébastien;1059;BONFILS Sébastien
3403;MME;;TISON;Sophie;1060;TISON Sophie
3404;M;;HUCK;Didier;1061;HUCK Didier
3405;M;Directeur des relations institutionnelles et RSE;HUCK;Didier;1061;HUCK Didier
3406;M;;FABRE;Jean-Armand;1062;FABRE Jean-Armand
3407;M;Directeur des Affaires publiques Groupe;LE CORRE;Eric;1063;LE CORRE Eric
3408;M;Directeur des Affaires publiques France;MARTIN-LASSAGNE;Thierry;1063;MARTIN-LASSAGNE Thierry
3409;MME;Chargée de mission Affaires Publiques;ARMELLE;Balvay;1063;ARMELLE Balvay
3410;MME;Chargée de mission Affaires Publiques;FORCE;Carole;1063;FORCE Carole
3411;MME;Directrice des Marques, du Développement Durable, de la Communication et des Affaires Publiques;CHALLON- KEMOUN;Adeline;1063;CHALLON- KEMOUN Adeline
3412;MME;;ROUX;Nele;1063;ROUX Nele
3413;MME;Directrice service juridique;EZERZER;Nathalie;1064;EZERZER Nathalie
3414;M;Président;TORROLLION;Jean-Marc;1064;TORROLLION Jean-Marc
3415;MME;Directrice Générale;DE LA BRETESCHE;Ghislaine;1064;DE LA BRETESCHE Ghislaine
3416;M;Président;COLLET;Mathieu;1065;COLLET Mathieu
3417;M;Directeur Général;WITTENBERG;Martin;1065;WITTENBERG Martin
3418;M;Directeur Conseil;PASCAL;Jean-François;1065;PASCAL Jean-François
3419;MME;Directrice du Pôle Affaires publiques;ROUBAUD;Justine;1065;ROUBAUD Justine
3420;MME;Directrice adjointe du Pôle Affaires publiques;PINET;Clémentine;1065;PINET Clémentine
3421;M;Conseiller senior;BRESCH;Luca;1065;BRESCH Luca
3422;M;Conseiller senior;GENEY;Fréderic;1065;GENEY Fréderic
3423;MME;Conseillère;MOCH;Mathilde;1065;MOCH Mathilde
3424;MME;Conseillère;GRALL;Marine;1065;GRALL Marine
3425;M;Conseiller;FANTON D'ANDON;Valentin;1065;FANTON D'ANDON Valentin
3426;MME;Conseillère;BAKOUCHE;Maëlle;1065;BAKOUCHE Maëlle
3427;MME;Présidente;LUCE;Mélanie;1066;LUCE Mélanie
3428;M;Vice-Président;DIARRA;Abdoulaye;1066;DIARRA Abdoulaye
3429;MME;Secrétaire générale;CHAPELIER;Juliette;1066;CHAPELIER Juliette
3430;M;Trésorier;LOMBE;Annaël;1066;LOMBE Annaël
3431;MME;;LAUSSEURE;Martine;1067;LAUSSEURE Martine
3432;M;Président délégué du directoire;JEANTET;Patrick;1068;JEANTET Patrick
3433;M;Secrétaire général;VOLANT;Stéphane;1068;VOLANT Stéphane
3434;M;Directeur de la stratégie;POLI;Raphaël;1068;POLI Raphaël
3435;M;directeur de cabinet du président du directoire;DELALANDE;Pierre;1068;DELALANDE Pierre
3436;MME;Directrice des affaires publiques;GROSSETETE;Karine;1068;GROSSETETE Karine
3437;MME;Conseillère parlementaire;NION;Laurence;1068;NION Laurence
3438;M;Président du directoire;FARANDOU;Jean-Pierre;1068;FARANDOU Jean-Pierre
3439;M;Directeur général;ABADIE;Pierre-Marie;1069;ABADIE Pierre-Marie
3440;M;Président du Conseil d'administration;COLRAT;Adolphe;1069;COLRAT Adolphe
3441;M;Directeur des opérations industrielles - Directeur des Centres Industriels de l'Andra dans l'Aube;TORRES;Patrice;1069;TORRES Patrice
3442;M;Directeur du Centre de Meuse / Haute-Marne;MAZOYER;David;1069;MAZOYER David
3443;M;Responsable des relations institutionnelles;DENIS-VIENOT;Matthieu;1069;DENIS-VIENOT Matthieu
3444;M;Directeur Corporate Affairs;ANFRUNS;Julien;1070;ANFRUNS Julien
3445;M;Responsable des affaires fiscales;CHRISTIANSEN;Emeric;1070;CHRISTIANSEN Emeric
3446;MME;Secrétaire Générale;COSTANT;Julie;1071;COSTANT Julie
3447;M;Président;MUSY;Laurent;1072;MUSY Laurent
3448;MME;Directrice Générale;DORGERET;Isabelle;1072;DORGERET Isabelle
3449;MME;Responsable Développement;DUCROQUETZ;Céline;1072;DUCROQUETZ Céline
3450;M;Responsable Affaires Publiques et Réglementaires / DD;VOLAND;Thierry;1072;VOLAND Thierry
3451;MME;;SCHMITT;Claire;1073;SCHMITT Claire
3452;M;Délégué Général;GAUTHIER;Thomas;1074;GAUTHIER Thomas
3453;MME;GERANTE;VERILHAC MARZIN;Stephanie;1075;VERILHAC MARZIN Stephanie
3454;M;Responsable Affaires publiques;MOURO;Christophe;1076;MOURO Christophe
3455;MME;Directrice Affaires publiques;HUSSON;Joane;1076;HUSSON Joane
3456;M;Président;BURELLE;Laurent;1077;BURELLE Laurent
3457;M;Directeur général;SOULMAGNON;François;1077;SOULMAGNON François
3458;MME;Directeur;ROBERT;Stéphanie;1077;ROBERT Stéphanie
3459;MME;Directeur des Affaires Fiscales;DE LA ROCQUE;Laetitia;1077;DE LA ROCQUE Laetitia
3460;MME;Directeur adjoint des Affaires fiscales;TARMIL;Amina;1077;TARMIL Amina
3461;M;Directeur Environnement Energie;BOQUET;Nicolas;1077;BOQUET Nicolas
3462;MME;Directrice du service juridique;DE BROSSES;Odile;1077;DE BROSSES Odile
3463;MME;Directrice des Affaires sociales;LEROY;Julie;1077;LEROY Julie
3464;M;Directeur des Affaires Financières;TRAN VAN;Le-Quang;1077;TRAN VAN Le-Quang
3465;MME;Directeur Administratif et Financier;BRICOTEAUX;Dominique;1077;BRICOTEAUX Dominique
3466;M;Conseiller du Président;DENIS;Eudoxe;1077;DENIS Eudoxe
3467;MME;Directrice Affaires commerciales et Propriété intellectuelle;FLAMENT-MASCARET;Emmanuelle;1077;FLAMENT-MASCARET Emmanuelle
3468;MME;Directeur RSE et Affaires internationales;GAMBERT;Elisabeth;1077;GAMBERT Elisabeth
3469;M;Directeur Négociations commerciales internationales;POULAIN;Marc;1077;POULAIN Marc
3470;M;Affaires publiques et communication;LECERF;Géry;1078;LECERF Géry
3471;M;Chargée des Relations Publiques;RIBAULT;Morgane;1079;RIBAULT Morgane
3472;M;Directeur Territorial Gironde;BLANCHER;Xavier;1080;BLANCHER Xavier
3473;MME;Directrice Territoriale Dordogne;MERIGEAU;Sylvie;1080;MERIGEAU Sylvie
3474;M;Directeur Territorial Lot et Garonne;PEREZ;Frédéric;1080;PEREZ Frédéric
3475;M;Présdident;MONTAGNE;Thomas;1081;MONTAGNE Thomas
3476;M;Directeur Général;JARJANETTE;Jean-Jacques;1081;JARJANETTE Jean-Jacques
3477;MME;Responsable du pôle syndical;MONSEGU;Audrey;1081;MONSEGU Audrey
3478;M;Directeur associé;ALEXANDRE;Fabrice;1082;ALEXANDRE Fabrice
3479;M;Président;LE PICARD;Olivier;1082;LE PICARD Olivier
3480;M;Consultant;JASSON;Marc-Antoine;1082;JASSON Marc-Antoine
3481;M;Consultant;LE PICARD;Nessim;1082;LE PICARD Nessim
3482;M;;ALEXANDRE;Fabrice;1082;ALEXANDRE Fabrice
3483;M;Consultant;LEFEUVRE;Martin;1082;LEFEUVRE Martin
3484;M;Président;MAGUIN;Pascal;1083;MAGUIN Pascal
3485;MME;Secrétaire générale;PHILIPPE;Violaine;1083;PHILIPPE Violaine
3486;M;;PIERRE;Jean-Mary;1084;PIERRE Jean-Mary
3487;M;PRESIDENT;SAPIR;Oren;1084;SAPIR Oren
3488;M;CHARGE DE LA COMMISSION OPERATIONNELLE;MEZZETTA;Denis;1084;MEZZETTA Denis
3489;MME;;LEFEVRE-GHAFIR;Hortense;1085;LEFEVRE-GHAFIR Hortense
3490;M;Directeur Général Europe du sud;DE LA GIRODAY;Nicolas;1086;DE LA GIRODAY Nicolas
3491;MME;VP, Directrice des Relations Extérieures Europe, Asie et Latam;GALLIAERDE;Sylvie;1086;GALLIAERDE Sylvie
3492;MME;Directrice des Relations Externes Europe du Sud;BREIL-COLETTE;Charlotte;1086;BREIL-COLETTE Charlotte
3493;M;Directeur de site Seretram;THEBAULT;Benoit;1086;THEBAULT Benoit
3494;M;Directeur de site Häagen Dazs;CARON;David;1086;CARON David
3495;MME;Déléguée générale;TERRIBLE;Clotilde;1087;TERRIBLE Clotilde
3496;M;Chargé de mission;DE QUATREBARBES;Philippe;1087;DE QUATREBARBES Philippe
3497;MME;;PIMENTEL;Virginie;1088;PIMENTEL Virginie
3498;M;Directeur;GRIMAULT;Roland;1088;GRIMAULT Roland
3499;MME;Directrice générale;CHAGNIOT;Catherine;1089;CHAGNIOT Catherine
3500;M;Directeur Général;JANOT;Guy-Francois;1090;JANOT Guy-Francois
3501;M;Directeur Général Adjoint;COGNET;Yves;1090;COGNET Yves
3502;M;;FAUJOUR;Eric;1091;FAUJOUR Eric
3503;M;DIRECTEUR ENERGIE ENVIRONNEMENT;BAUD;Luc;1091;BAUD Luc
3504;M;;BAUD;Luc;1091;BAUD Luc
3505;M;;PASQUET;Joachim;1092;PASQUET Joachim
3506;M;;BRESSON;Bernard;1093;BRESSON Bernard
3507;M;Directeur général;LARCHER;Jean-Luc;1094;LARCHER Jean-Luc
3508;MME;Directrice Stratégie;ZERMATI;Audrey;1095;ZERMATI Audrey
3509;M;Chargé des affaires publiques;RYON;Romain;1095;RYON Romain
3510;M;Directeur des Affaires Générales;DE SAINT SERNIN;Benoit;1096;DE SAINT SERNIN Benoit
3511;M;Directeur des Relations Institutionnelles;GUILLOSSEAU;Gildas;1096;GUILLOSSEAU Gildas
3512;M;Délégué Général;BRICE;Yann;1097;BRICE Yann
3513;MME;;LANGENBUCHER;Anja;1098;LANGENBUCHER Anja
3514;M;Déléguée générale;PERRILLAT;Lydie;1099;PERRILLAT Lydie
3515;M;Président;GRUNBERG;Olivier;1099;GRUNBERG Olivier
3516;MME;Déléguée Générale;GRANDO;Heidi;1100;GRANDO Heidi
3517;MME;Assistante Déléguée Générale;CORDIER;Julie;1100;CORDIER Julie
3518;MME;Secrétaire Générale;FEDERKEIL;Cornelia;1101;FEDERKEIL Cornelia
3519;MME;Secrétaire Générale Adjointe;BLANCHARD;Valerie;1101;BLANCHARD Valerie
3520;M;Président;ZUNZ;Steven;1102;ZUNZ Steven
3521;M;Président;ARNAUD;Jean-Michel;1102;ARNAUD Jean-Michel
3522;M;Directeur associé;BONNEL;Thomas;1102;BONNEL Thomas
3523;M;directeur affaires publiques;BAROUKH;Samuel;1102;BAROUKH Samuel
3524;M;Directeur Conseil;PORTAL;Christophe;1102;PORTAL Christophe
3525;M;Consultant senior;VANDERSCHAEG;Aurélien;1102;VANDERSCHAEG Aurélien
3526;M;Consultant senior;GUILMOTO;Thomas;1102;GUILMOTO Thomas
3527;M;Consultant senior;CARLASSARE;Thibaud;1102;CARLASSARE Thibaud
3528;M;Consultant senior;DUPRE;David;1102;DUPRE David
3529;M;Directeur conseil;PUIJALON;Thomas;1102;PUIJALON Thomas
3530;M;Consultant;SOULET;Théo;1102;SOULET Théo
3531;MME;Directrice conseil;HERVOUET;Clothilde;1102;HERVOUET Clothilde
3532;MME;Présidente;LAMBERT;Christiane;1103;LAMBERT Christiane
3533;M;Secrétaire général adjoint;THIROUIN;Eric;1103;THIROUIN Eric
3534;M;Membre du bureau;LIMOUZIN;Joël;1103;LIMOUZIN Joël
3535;MME;Directrice générale;LION;Catherine;1103;LION Catherine
3536;M;Directeur général adjoint;FAURAX;Clément;1103;FAURAX Clément
3537;MME;Attachée parlementaire;NORMAND;Nadine;1103;NORMAND Nadine
3538;M;;CHANDELLIER;Jean-Louis;1103;CHANDELLIER Jean-Louis
3539;MME;Chef de service;LE CORRE-GABENS;Nelly;1103;LE CORRE-GABENS Nelly
3540;M;Membre du bureau;VERGER;Robert;1103;VERGER Robert
3541;M;Vice-Président;COUÉ;Thierry;1103;COUÉ Thierry
3542;M;;PAPON;Alain;1104;PAPON Alain
3543;M;Secrétaire Général;MORIOU;Mathieu;1104;MORIOU Mathieu
3544;MME;;TARLEVÉ;Clarice;1105;TARLEVÉ Clarice
3545;MME;Secrétaire générale;TARLEVÉ;Clarice;1105;TARLEVÉ Clarice
3546;M;;COSTILHES;Maxime;1106;COSTILHES Maxime
3547;M;;FEKL;Matthias;1106;FEKL Matthias
3548;M;;SALEMKOUR;Malik;1107;SALEMKOUR Malik
3549;M;Appui aux initiatives citoyennes;SOURICE;Benjamin;1108;SOURICE Benjamin
3550;MME;Chargée de communication;CAMPELO;Erika;1108;CAMPELO Erika
3551;MME;Vice-Président et Directeur Général;CLERC;Béatrice;1109;CLERC Béatrice
3552;M;Directeur des Affaires Corporate, Pharmacien Responsable , Directeur général délégué;CALMAR;Stéphane;1109;CALMAR Stéphane
3553;M;Directeur Affaires économiques et publiques;EMIEL;Patrick;1109;EMIEL Patrick
3554;M;Responsable Relations Institutionnelles;KLARGAARD;Théo;1109;KLARGAARD Théo
3555;M;;PAYE;Antoine;1110;PAYE Antoine
3556;M;Directeur Général;FONTE;Alain;1111;FONTE Alain
3557;M;Directeur des Affaires publiques;CHATIN;Nicolas;1112;CHATIN Nicolas
3558;MME;Directrice de la Réglementation;BOULAY;Marie-Georges;1112;BOULAY Marie-Georges
3559;MME;;PERSET;Claire;1112;PERSET Claire
3560;M;;BESSIS;Roxane;1112;BESSIS Roxane
3561;M;Responsable Achats / Marchés Publics;PROFFIT;Mathieu;1113;PROFFIT Mathieu
3562;M;Directeur Général;RICHAUD;Alban;1113;RICHAUD Alban
3563;M;SECRETAIRE GENERAL;MONTI;Christian;1114;MONTI Christian
3564;M;Directeur Général;HORNAIN;Jean;1115;HORNAIN Jean
3565;M;Président;GUTTIN;Gilbert;1116;GUTTIN Gilbert
3566;M;Secrétaire général;JAMA;Jean-Louis;1116;JAMA Jean-Louis
3567;M;Vice-président;DERAIME;Thierry;1116;DERAIME Thierry
3568;M;Vice-président;VASLIER;Gilles;1116;VASLIER Gilles
3569;M;Trésorier;COPTI;Sami;1116;COPTI Sami
3570;MME;Vice-présidente;BRETON;Virginie;1116;BRETON Virginie
3571;M;Vice-président;ROUSSEAU;Narcisse;1116;ROUSSEAU Narcisse
3572;M;Président;LENNERTZ;James;1117;LENNERTZ James
3573;M;Senior Director Government Affairs EUMEA;ROUX;Jean Louis;1117;ROUX Jean Louis
3574;M;Secrétaire Général Par Intérim;PASCAL;Erick;1118;PASCAL Erick
3575;M;Responsable veille réglementaire marchés;LALLEMENT;Antoine;1119;LALLEMENT Antoine
3576;M;Responsable des Affaires Publiques;HOTTELART;Eric;1119;HOTTELART Eric
3577;MME;Dirigeant;BOUMEDIENNE;Fatima;1120;BOUMEDIENNE Fatima
3578;M;;KAROUBY;Jean Philippe;1121;KAROUBY Jean Philippe
3579;M;CONSULTANT;AROUS;Fabien;1121;AROUS Fabien
3580;M;Consultant senior;GROSJEAN;Pierre-Damien;1122;GROSJEAN Pierre-Damien
3581;M;Président;DROGUERE;Christophe;1122;DROGUERE Christophe
3582;MME;Consultante;LECOMTE;Marion;1122;LECOMTE Marion
3583;MME;Consultante senior;SOULAN;Marion;1122;SOULAN Marion
3584;M;Vice-Président;SEJOURNE;Benoît;1123;SEJOURNE Benoît
3585;MME;Responsable relations institutionnelles et partenariats;PREVOST;Laurine;1124;PREVOST Laurine
3586;M;Président;TIBERGHIEN;Frédéric;1124;TIBERGHIEN Frédéric
3587;M;;BRANQUART;Roland;1125;BRANQUART Roland
3588;MME;Consultant;SALMON;Marine;1125;SALMON Marine
3589;M;Consultant;D'ARMAGNAC;Benoit;1125;D'ARMAGNAC Benoit
3590;M;Responsable plaidoyer France et inernational;RAINAUD;Nicolas;1126;RAINAUD Nicolas
3591;MME;Directrice exécutive;GAL-RÉGNIEZ;Aurélie;1126;GAL-RÉGNIEZ Aurélie
3592;MME;Chargée de communication et plaidoyer;BANNWARTH;Marguerite;1126;BANNWARTH Marguerite
3593;M;;DELSUPEXHE;Alain;1127;DELSUPEXHE Alain
3594;M;Directeur Développement France;PEYER;Germain;1127;PEYER Germain
3595;M;;BORDENAVE;Thomas;1127;BORDENAVE Thomas
3596;M;;LANNE;Marc;1127;LANNE Marc
3597;M;;CHABERT;Christophe;1127;CHABERT Christophe
3598;MME;;DOUSSOT;Laurence;1127;DOUSSOT Laurence
3599;M;Directeur général;FROMONT;Vincent;1127;FROMONT Vincent
3600;MME;;COURTY;Astrid;1128;COURTY Astrid
3601;MME;Chargée de mission;COURTY;Astrid;1128;COURTY Astrid
3602;MME;Directrice;ANTHEAUME;Fabienne;1129;ANTHEAUME Fabienne
3603;M;;POITOU;Frédéric;1130;POITOU Frédéric
3604;M;Secrétaire Général UIMM 35-56 et PLASTI OUEST;MERET;Gérard;1131;MERET Gérard
3605;MME;;LE VAILLANT;Aude;1132;LE VAILLANT Aude
3606;M;PRESIDENT SANDOZ FRANCE;DELENTA;Christophe;1133;DELENTA Christophe
3607;M;;NARBONNE;Jérôme;1134;NARBONNE Jérôme
3608;M;Directeur des affaires publiques;NARBONNE;Jerome;1134;NARBONNE Jerome
3609;MME;Directrice executive;ROFORT STORA;Viviane;1135;ROFORT STORA Viviane
3610;M;Directeur des partenariats et des relations extérieures;QUERRY;Eric;1135;QUERRY Eric
3611;M;Président;NOSSENT;Patrick;1135;NOSSENT Patrick
3612;MME;Assistante de Direction;REGIS;Virginie;1136;REGIS Virginie
3613;M;Directeur général;NAHON;Laurent;1137;NAHON Laurent
3614;MME;Présidente;PESIC;Myriam;1137;PESIC Myriam
3615;M;Vice-Président;DUMARTIN;Eric;1137;DUMARTIN Eric
3616;M;Délégué général;JOUANNO;Jérôme;1138;JOUANNO Jérôme
3617;M;Vice-Président;MONTET;Vincent;1138;MONTET Vincent
3618;MME;Vice-Présidente;BARNEOUD;Muriel;1138;BARNEOUD Muriel
3619;M;Déléguée Régionale;LECA;Florence;1139;LECA Florence
3620;MME;Animatrice Syndicale;FILIPPI;Francesca;1139;FILIPPI Francesca
3621;M;Chargé de Relations Institutionnelles;DE BRAQUILANGES;Paul;1140;DE BRAQUILANGES Paul
3622;M;Directeur de la Communication;QUERO;Olivier;1140;QUERO Olivier
3623;M;Président-Directeur Général;BURELLE;Laurent;1141;BURELLE Laurent
3624;M;Codirecteur général;SZCZERBA;Jean-Michel;1141;SZCZERBA Jean-Michel
3625;M;President & CEO Western Europe, Plastic Omnium Auto Exterior;LE GARREC;Patrick;1141;LE GARREC Patrick
3626;M;Directeur des affaires publiques;DENIS;Eudoxe;1141;DENIS Eudoxe
3627;M;Secrétaire fédéral;SCHAEFER;Bertrand;1142;SCHAEFER Bertrand
3628;MME;Responsable affaires agricoles et agroalimentaires;MIGAULT;Catherine;1142;MIGAULT Catherine
3629;M;;CHARVET;Benoit;1143;CHARVET Benoit
3630;M;Secrétaire général;SOW;Aliou;1144;SOW Aliou
3631;MME;Secrétaire Générale Adjointe;REPUSSEAU;Emilie;1144;REPUSSEAU Emilie
3632;MME;Présidente Branche Carrosserie;BERRODIER;Marie-Françoise;1144;BERRODIER Marie-Françoise
3633;M;Président Branche Dépannage Remorquage Fourrière;STAGNARO;Marcel;1144;STAGNARO Marcel
3634;M;Président Branche Education Routière;COLOMBANI;Philippe;1144;COLOMBANI Philippe
3635;M;Président Branche Maintenance Vente;SGOBBO;Gérald;1144;SGOBBO Gérald
3636;M;Président Branche Contrôle Technique;BILLAUD;Bertrand;1144;BILLAUD Bertrand
3637;M;Président;MOINEREAU;Didier;1145;MOINEREAU Didier
3638;M;;ROUGEAUX;Etienne;1146;ROUGEAUX Etienne
3639;M;;BLASCO;Jean-Louis;1147;BLASCO Jean-Louis
3640;MME;présidente;VACHE;Sophie;1147;VACHE Sophie
3641;MME;trésorière;AMOURDEDIEU;Brigitte;1147;AMOURDEDIEU Brigitte
3642;M;secrétaire général;CUREL;Olivier;1147;CUREL Olivier
3643;M;;RAVAILHE;Nicolas;1148;RAVAILHE Nicolas
3644;M;Président;LAPIE;Hervé;1149;LAPIE Hervé
3645;MME;Secrétaire générale;MOREAU;Béatrice;1149;MOREAU Béatrice
3646;M;Directeur général;SONGY;Christophe;1149;SONGY Christophe
3647;MME;Responsable du département syndical;PIERLOT;Catherine;1149;PIERLOT Catherine
3648;MME;Déléguée générale;DE LABRIFFE;Hortense;1150;DE LABRIFFE Hortense
3649;M;Directeur des Affaires Publiques , directeur de la sécurité et du centre d'analyse économique et stratégique;GIORGIANNI;Bruno;1151;GIORGIANNI Bruno
3650;MME;Directrice de la communication et du plaidoyer;HURTUT;Catherine;1152;HURTUT Catherine
3651;MME;Responsable du plaidoyer;PIEDERRIERE;Morgane;1152;PIEDERRIERE Morgane
3652;M;Vice-président;CHABROLLE;Alain;1152;CHABROLLE Alain
3653;M;Vice-président;ABEL;Jean-David;1152;ABEL Jean-David
3654;MME;Directrice Générale;HERMELIN;Bénédicte;1152;HERMELIN Bénédicte
3655;MME;Coordinatrice du réseau agriculture;SCHULZ-VANNAXAY;Marie-Catherine;1152;SCHULZ-VANNAXAY Marie-Catherine
3656;M;Chargé de mission agriculture/santé;LEROUX;Thibault;1152;LEROUX Thibault
3657;MME;Chargée de mission du réseau agriculture;LEGEAY;Manon;1152;LEGEAY Manon
3658;M;Coordinateur du réseau ressources en eau et milieux aquatiques;CHARENTON;Christophe;1152;CHARENTON Christophe
3659;MME;Coordinatrice du réseau forêt;FAVREL;Adeline;1152;FAVREL Adeline
3660;MME;Chargée de mission du réseau forêt;KHATIB;Sarah;1152;KHATIB Sarah
3661;MME;Coordinatrice du réseau prévention et gestion des déchets;VERBOUD;Margarita;1152;VERBOUD Margarita
3662;MME;Chargée de mission du réseau prévention et gestion des déchets;KUBIK;Eléonore;1152;KUBIK Eléonore
